time(millis),values,Grams,Newtons,multiplier,offset
48187,-216718,320.64302,,0.00111,561.2
48271,-218311,318.87479,,0.00111,561.2
48355,-219748,317.27972,,0.00111,561.2
48440,-220796,316.11644,,0.00111,561.2
48524,-219009,318.10001,,0.00111,561.2
48608,-217270,320.0303,,0.00111,561.2
48692,-217197,320.11133,,0.00111,561.2
48776,-217449,319.83161,,0.00111,561.2
48861,-216103,321.32567,,0.00111,561.2
48945,-215781,321.68309,,0.00111,561.2
49029,-214097,323.55233,,0.00111,561.2
49113,-210699,327.32411,,0.00111,561.2
49197,-209867,328.24763,,0.00111,561.2
49282,-208905,329.31545,,0.00111,561.2
49366,-207996,330.32444,,0.00111,561.2
49450,-213636,324.06404,,0.00111,561.2
49534,-223625,312.97625,,0.00111,561.2
49618,-226577,309.69953,,0.00111,561.2
49702,-225711,310.66079,,0.00111,561.2
49787,-223211,313.43579,,0.00111,561.2
49871,-216631,320.73959,,0.00111,561.2
49955,-206564,331.91396,,0.00111,561.2
50039,-166480,376.4072,,0.00111,561.2
50123,-65644,488.33516,,0.00111,561.2
50208,70853,639.84683,,0.00111,561.2
50292,155093,733.35323,,0.00111,561.2
50376,-24680,533.8052,,0.00111,561.2
50460,-237351,297.74039,,0.00111,561.2
50544,-333065,191.49785,,0.00111,561.2
50629,-364115,157.03235,,0.00111,561.2
50713,-379509,139.94501,,0.00111,561.2
50797,-391060,127.1234,,0.00111,561.2
50881,-400873,116.23097,,0.00111,561.2
50965,-409526,106.62614,,0.00111,561.2
51050,-420412,94.54268,,0.00111,561.2
51134,-429463,84.49607,,0.00111,561.2
51218,-433845,79.63205,,0.00111,561.2
51302,-437334,75.75926,,0.00111,561.2
51386,-447631,64.32959,,0.00111,561.2
51470,-463411,46.81379,,0.00111,561.2
51555,-470432,39.02048,,0.00111,561.2
51639,-471448,37.89272,,0.00111,561.2
51723,-471792,37.51088,,0.00111,561.2
51807,-472229,37.02581,,0.00111,561.2
51891,-472546,36.67394,,0.00111,561.2
